CLUB NAME,CLUB CATEGORIES,CLUB INSTAGRAM,CLUB CONTACT
Anesthesiology Student Interest Group (ASIG) ,The Anesthesiology Interest Group at David Geffen School of Medicine aims to increase awareness and interest in Anesthesiology as it is a specialty that students have very little exposure to in the..., ,"[<p class=""contact"">
<a href=""http://uclahealth.org/anes/anesthesia-student-interest-group"">http://uclahealth.org/anes/anesthesia-student-interest-group</a><br/>
<a href=""mailto:dgsom.asig@gmail.com"">dgsom.asig@gmail.com</a><br/>
</p>]"
Animatrix,"Originally founded in 1984, Animatrix is an annual academic film journal that allows students and scholars an opportunity to publish illustrations, interviews, and research-based critical articles...", ,"[<p class=""contact"">
<a href=""mailto:animation2487@tft.ucla.edu"">animation2487@tft.ucla.edu</a><br/>
</p>]"
Arab American Association of Engineers and Architects (AAAEA),"The UCLA student chapter of the Arab American Association of Engineers and Architects (AAAEA), founded in 2015, is a non-political, non-religious, professional and social club dedicated to...", ,"[<p class=""contact"">
<a href=""https://aaaeaca.org/bruin-student-chapter/"">https://aaaeaca.org/bruin-student-chapter/</a><br/>
<a href=""mailto:ucla.aaaea@gmail.com"">ucla.aaaea@gmail.com</a><br/>
</p>]"
Armenian Engineers and Scientists Association (AESA),An organization for anyone interested in Engineering and Science in the Armenian community.,https://www.instagram.com/ampducla/,"[<p class=""contact"">
<a href=""mailto:aesaatucla@gmail.com"">aesaatucla@gmail.com</a><br/>
</p>]"
Art History Undergraduate Student Association,"The Art History Undergraduate Student Association (AHUSA) is an organization that provides extracurricular enrichment in the field of Art History to majors and non-majors. In addition, AHUSA hopes to...", ,"[<p class=""contact"">
<a href=""http://arthistory.ucla.edu/undergraduates-ahusa/"">http://arthistory.ucla.edu/undergraduates-ahusa/</a><br/>
<a href=""mailto:bruins.ahusa@gmail.com"">bruins.ahusa@gmail.com</a><br/>
</p>]"
Association of Students in Child Development,The purpose of the Association of Students in Child Development is to create a student-led organization that will serve as a resource for students who are interested in working with or on behalf of..., ,"[<p class=""contact"">
<a href=""mailto:ascdatucla@gmail.com"">ascdatucla@gmail.com</a><br/>
</p>]"
Astronomical Society,The purpose of this organization is to host and create astronomy-related events openly accessible and available to all members of the UCLA community and the surrounding communities.  As an extension..., ,"[<p class=""contact"">
<a href=""mailto:uas@astro.ucla.edu"">uas@astro.ucla.edu</a><br/>
</p>]"
Aware At UCLA ,"Aware’s mission is to create a safe space where students can discuss relevant ethical issues in order to build their own identities, be better advocates, and participate in thoughtful, non-judgmental...", ,"[<p class=""contact"">
<a href=""https://awareatucla.weebly.com"">https://awareatucla.weebly.com</a><br/>
<a href=""mailto:aware.ucla@gmail.com"">aware.ucla@gmail.com</a><br/>
</p>]"
Basic Dental Principles at UCLA ,Basic Dental Principles (BDP) is a program created to provide undergraduate and post-baccalaureate students the opportunity to gain more knowledge into the field of dentistry. The program consists of..., ,"[<p class=""contact"">
<a href=""http://uclabdp.com"">http://uclabdp.com</a><br/>
<a href=""mailto:uclabdp@gmail.com"">uclabdp@gmail.com</a><br/>
</p>]"
Bioengineering Graduate Association,"The Bioengineering Graduate Association (BGA) at UCLA was established to facilitate the communication of graduate students with department members, encourage the involvement of students in the...", ,"[<p class=""contact"">
<a href=""mailto:bga@g.ucla.edu"">bga@g.ucla.edu</a><br/>
</p>]"
Biomedical Engineering Society,The purpose of UCLA BMES is to provide students interested in Biomedical Engineering with a place to meet and collaborate with other interested individuals. UCLA BMES promotes community and builds..., ,"[<p class=""contact"">
<a href=""http://bmes.seas.ucla.edu/"">http://bmes.seas.ucla.edu/</a><br/>
<a href=""mailto:bmes@ucla.edu"">bmes@ucla.edu</a><br/>
</p>]"
Botanical Club at UCLA,"The Botanical Club's mission is to act as a student hub for the promotion of botanical research, appreciation and outreach. The Botanical Club's interests are interdisciplinary and integrated across...", ,"[<p class=""contact"">
<a href=""mailto:uclabotanicalclub@gmail.com"">uclabotanicalclub@gmail.com</a><br/>
</p>]"
Bruin Association of Students in Education,"Founded in 2022, the Bruin Association of Students in Education was formed out of a need to create a space for a motivated group that spans across the entire student body but does not have a...", ,"[<p class=""contact"">
<a href=""https://sites.google.com/g.ucla.edu/uclabase/home"">https://sites.google.com/g.ucla.edu/uclabase/home</a><br/>
<a href=""mailto:base.ucla@gmail.com"">base.ucla@gmail.com</a><br/>
</p>]"
Bruin Battalion Army ROTC,The members of the Bruin Battalion Corps of Cadets represent UCLA’s branch of the Army Reserve Officer Training Corps (R.O.T.C.). This voluntary training program allows students to qualify for an..., ,"[<p class=""contact"">
<a href=""http://milsci.ucla.edu/"">http://milsci.ucla.edu/</a><br/>
<a href=""mailto:armyrotc@milsci.ucla.edu"">armyrotc@milsci.ucla.edu</a><br/>
</p>]"
Bruin Consulting,We are a management consultancy dedicated to helping businesses navigate the strategic challenges of the 21st century. We partner with clients ranging from startups to Fortune 500 companies to..., ,"[<p class=""contact"">
<a href=""https://www.bruinconsulting.org/"">https://www.bruinconsulting.org/</a><br/>
<a href=""mailto:bruinconsulting@gmail.com"">bruinconsulting@gmail.com</a><br/>
</p>]"
Bruin Contemporary Business,Bruin Contemporary Business at UCLA is a dynamic community uniting students passionate about modern business practices. The club serves as a vital resource for financial literacy in today's..., ,"[<p class=""contact"">
<a href=""mailto:bcfucla@gmail.com"">bcfucla@gmail.com</a><br/>
</p>]"
Bruin Earth Solutions,"Bruin Earth Solutions (BES) is a student-run environmental club that facilitates various sustainable projects around campus. At BES we cover all disciplines of sustainability: Engineering, Biology,...", ,"[<p class=""contact"">
<a href=""http://bruinhomesolutions.com/"">http://bruinhomesolutions.com/</a><br/>
<a href=""mailto:bhs@g.ucla.edu"">bhs@g.ucla.edu</a><br/>
</p>]"
Bruin Historical Association,"The Bruin Historical Association is a student organization that exists to form a broad coalition of UCLA students dedicated to promoting common historical interest, combating the spread of historical...", ,"[<p class=""contact"">
<a href=""http://bruinhistoricalassociation.org"">http://bruinhistoricalassociation.org</a><br/>
<a href=""mailto:bruin.historical.association@gmail.com"">bruin.historical.association@gmail.com</a><br/>
</p>]"
Bruin Linguists Society,"The Bruin Linguists Society (BLing) is the UCLA Linguistics’ undergraduate student association. We host events every quarter that are geared towards undergraduate students’ success in career,...", ,"[<p class=""contact"">
<a href=""https://tinyurl.com/bruinlinguists"">https://tinyurl.com/bruinlinguists</a><br/>
<a href=""mailto:bruinlinguists@gmail.com"">bruinlinguists@gmail.com</a><br/>
</p>]"
Bruin Policy Institute,"The Bruin Policy Institute is a policy think tank that facilitates policy discussion, publishes memos in our journal, and advocates for progressive solutions backed by academic evidence. We invite...", ,"[<p class=""contact"">
<a href=""https://uclaroosevelt.wixsite.com/bruinpolicyinstitute"">https://uclaroosevelt.wixsite.com/bruinpolicyinstitute</a><br/>
<a href=""mailto:bruinpolicyinstitute@gmail.com"">bruinpolicyinstitute@gmail.com</a><br/>
</p>]"
"Bruin Review, The",A publication focused on civil discourse and diversity of thought. The student solution for a lack of healthy disagreement on campus., ,"[<p class=""contact"">
<a href=""http://bruinreview.com"">http://bruinreview.com</a><br/>
<a href=""mailto:management@bruinreview.com"">management@bruinreview.com</a><br/>
</p>]"
Bruin Strategic Advisory ,"Bruin Strategic Advisory is the gathering of like-minded students that are passionate about both finance and management consulting. Bruin Strategic Advisory has a consulting focus, but will help...", ,"[<p class=""contact"">
<a href=""mailto:samoh2026@g.ucla.edu"">samoh2026@g.ucla.edu</a><br/>
</p>]"
California Geotechnical Engineering Association at UCLA,The CalGeo Student Chapter at UCLA has a simple goal: build lasting connections between the academic and industrial faces in the field of Geotechnical/Earthquake engineering. We present opportunities..., ,"[<p class=""contact"">
<a href=""http://calgeobruins.org/"">http://calgeobruins.org/</a><br/>
<a href=""mailto:calgeobruins@gmail.com"">calgeobruins@gmail.com</a><br/>
</p>]"
Carbon Neutrality Society,"As climate change accelerates, addressing carbon emissions has never been more critical. The Carbon Neutrality Society at UCLA aspires to foster a community of environmentally conscious minds,...", ,"[<p class=""contact"">
<a href=""mailto:carbonneutralitysociety@gmail.com"">carbonneutralitysociety@gmail.com</a><br/>
</p>]"
CELL Scholars ,CELL Scholars (Cultivating Early Laboratory Learning) is a UCLA science outreach organization which aims to provide early exposure to scientific research and to increase diversity and inclusion in..., ,"[<p class=""contact"">
<a href=""https://bri.ucla.edu/outreach/cell-scholars/"">https://bri.ucla.edu/outreach/cell-scholars/</a><br/>
<a href=""mailto:cellscholars@gmail.com"">cellscholars@gmail.com</a><br/>
</p>]"
"Center for Language, Interaction and Culture Graduate Student Association (CLIC GSA)","CLIC GSA is a student organization that promotes interdisciplinary work at the intersections of language, culture, and conversational activities. Members include primarily graduate (and also...", ,"[<p class=""contact"">
<a href=""mailto:clicgsaconference@gmail.com"">clicgsaconference@gmail.com</a><br/>
</p>]"
Center for the Liberal Arts and Free Institutions,"CLAFI’s purpose is to study great literary, artistic, and cultural achievements, with particular emphasis on the foundations of free institutions. Through lectures, seminars, and public events, CLAFI...", ,"[<p class=""contact"">
<a href=""http://www.clafi.ucla.edu"">http://www.clafi.ucla.edu</a><br/>
<a href=""mailto:clafi.bruin@gmail.com"">clafi.bruin@gmail.com</a><br/>
</p>]"
Chi Epsilon Pi (XEP),Graduate student organization for the Atmospheric and Oceanic Sciences Department., ,"[<p class=""contact"">
<a href=""https://xep.atmos.ucla.edu/"">https://xep.atmos.ucla.edu/</a><br/>
<a href=""mailto:xep@atmos.ucla.edu"">xep@atmos.ucla.edu</a><br/>
</p>]"
"Chi Epsilon, The Civil Engineering Honor Society","Dedicated to the purpose of maintaining and promoting the status of civil engineering as an ideal profession, Chi-Epsilon was organized to recognize the characteristics of the individual civil...", ,"[<p class=""contact"">
<a href=""https://uclaxe.wixsite.com/site"">https://uclaxe.wixsite.com/site</a><br/>
<a href=""mailto:chiepsilon@g.ucla.edu"">chiepsilon@g.ucla.edu</a><br/>
</p>]"
CNS (Clinical Neurogenomics Students) ,CNS students work alongside medical staff and researchers to help in the effort to bank patient samples from the UCLA Neurology Clinic at the Ronald Reagan Medical Center. The mission of the..., ,"[<p class=""contact"">
<a href=""https://cnsatucla.weebly.com/"">https://cnsatucla.weebly.com/</a><br/>
<a href=""mailto:cnsatucla@gmail.com"">cnsatucla@gmail.com</a><br/>
</p>]"
Cognitive Science and Artificial Intelligence,"Club designed for but not limited to Cognitive Science majors and individuals interested in Cognitive Science. We will talk about relevant news stories regarding artificial intelligence, current...", ,"[<p class=""contact"">
<a href=""https://csaiatucla.com/"">https://csaiatucla.com/</a><br/>
<a href=""mailto:jedward13@g.ucla.edu"">jedward13@g.ucla.edu</a><br/>
</p>]"
Collaboration in Undergraduate Research Enrichment at UCLA,CURE at UCLA is an organization of undergraduate researchers who are dedicated to improving the undergraduate research experience. We aim to provide students with the resources and mentorship that..., ,"[<p class=""contact"">
<a href=""http://cureatucla.weebly.com/"">http://cureatucla.weebly.com/</a><br/>
<a href=""mailto:outreach.cureatucla@gmail.com"">outreach.cureatucla@gmail.com</a><br/>
</p>]"
Community College Field Biology Alliance,"The Community College Field Biology Alliance will provide community college students from underrepresented groups in science, technology, engineering, and math  (STEM) the opportunity to experience...", ,"[<p class=""contact"">
<a href=""https://www.ccfieldbiologyalliance.org/"">https://www.ccfieldbiologyalliance.org/</a><br/>
<a href=""mailto:CCFBioAlliance@gmail.com"">CCFBioAlliance@gmail.com</a><br/>
</p>]"
Community Health Sciences Student Association (CHSSA),"The Community Health Sciences Student Association (CHSSA) is a student-run organization, whose mission is to cultivate community and connectedness among students in the Fielding School of Public...", ,"[<p class=""contact"">
<a href=""mailto:chssa.uclafsph@gmail.com"">chssa.uclafsph@gmail.com</a><br/>
</p>]"
Comparative Literature Graduate Student Association ,"The Comparative Literature Graduate Student Association (CLGSA) acts as a bridge between graduate students, faculty, the Humanities Administrative Group (HAG) and the wider UCLA community. Members of...", ,"[<p class=""contact"">
<a href=""mailto:clgsa@humnet.ucla.edu"">clgsa@humnet.ucla.edu</a><br/>
</p>]"
Computational Biologists Society,"The Computational Biologists Society is a student organization which aims to connect students from computational biology and related fields, to provide resources and guidance to students in the...", ,"[<p class=""contact"">
<a href=""https://compbiosocucla.wixsite.com/my-site"">https://compbiosocucla.wixsite.com/my-site</a><br/>
<a href=""mailto:compbiosocucla@gmail.com"">compbiosocucla@gmail.com</a><br/>
</p>]"
Computational Chemistry Club @ UCLA,Computational Chemistry Club aims to build bridges between general chemistry and its advanced topics. By supporting theoretical and computational chemistry research for undergraduates and exploring..., ,"[<p class=""contact"">
<a href=""mailto:timduong360@g.ucla.edu"">timduong360@g.ucla.edu</a><br/>
</p>]"
ConnectEd Research,"Our purpose is to establish an academic community where we share research and academic resources with undergraduates from various majors and backgrounds, especially international students, ethnic...", ,"[<p class=""contact"">
<a href=""mailto:siagao@ucla.edu"">siagao@ucla.edu</a><br/>
</p>]"
Creative Labs UCLA,We are a community of UCLA creatives working on cool projects to discover even cooler passions. We foster creativity and passion within the student body and help students bring their creative project..., ,"[<p class=""contact"">
<a href=""https://www.creativelabsucla.com/"">https://www.creativelabsucla.com/</a><br/>
<a href=""mailto:uclacreatives@gmail.com"">uclacreatives@gmail.com</a><br/>
</p>]"
Debate Union at UCLA,"The Debate Union is a debate team geared towards the British Parliamentary (BP) debate format. We aim to teach the skills integral to success in debate, excel in BP tournaments, and create a space...", ,"[<p class=""contact"">
<a href=""http://www.debateunionatucla.com"">http://www.debateunionatucla.com</a><br/>
<a href=""mailto:debateunion@ucla.edu"">debateunion@ucla.edu</a><br/>
</p>]"
Delson Scholar Society,"Available to entering students in the UCLA College who submit a Statement of Intent to Register, and who have financial need as determined by the UCLA Financial Aid Office. Candidates must be Bell or...", ,"[<p class=""contact"">
<a href=""mailto:delsonscholars@gmail.com"">delsonscholars@gmail.com</a><br/>
</p>]"
Design Build Fly at UCLA,"Design Build Fly (DBF) at UCLA is an interdisciplinary student team dedicated to researching, designing, manufacturing, and flying model aircrafts. Each year, the team constructs an aircraft designed...", ,"[<p class=""contact"">
<a href=""https://dbfatucla.github.io/DBFatUCLA/"">https://dbfatucla.github.io/DBFatUCLA/</a><br/>
<a href=""mailto:designbuildfly@g.ucla.edu"">designbuildfly@g.ucla.edu</a><br/>
</p>]"
Ecology and Evolutionary Biology Undergraduate Association (EEBUA),"The purpose of the Association is to provide for its members a means of creating stronger ties to the Department, its alumni and fellow students; a means of representing their opinions to the...", ,"[<p class=""contact"">
<a href=""https://www.eeb.ucla.edu/"">https://www.eeb.ucla.edu/</a><br/>
<a href=""mailto:EEBundergradassoc@gmail.com"">EEBundergradassoc@gmail.com</a><br/>
</p>]"
Emergency Medicine Research Associates (EMRA),"To promote the improvement of Emergency Medicine through conducting clinical research intended to contribute scientific knowledge to the medical community, improve patient care, and bolster...", ,"[<p class=""contact"">
<a href=""https://emra.dgsom.ucla.edu/pages/"">https://emra.dgsom.ucla.edu/pages/</a><br/>
<a href=""mailto:uclaemrastaff@mednet.ucla.edu"">uclaemrastaff@mednet.ucla.edu</a><br/>
</p>]"
Environmental Health Sciences Student Association,"The Environmental Health Sciences Student Association (EHSSA) is a student group that serves incoming and returning MPH, MS, and PhD students in the Environmental Health Sciences Department at UCLA...",https://www.instagram.com/airesucla/,"[<p class=""contact"">
<a href=""https://ehs.ph.ucla.edu/pages/ehssa"">https://ehs.ph.ucla.edu/pages/ehssa</a><br/>
<a href=""mailto:ehsstudents@gmail.com"">ehsstudents@gmail.com</a><br/>
</p>]"
Epidemiology Student Association,"The Epidemiology Student Association is a student group aimed at connecting new and current students in the Department of Epidemiology MPH, MS, and PhD programs at UCLA. We are a resource for social...", ,"[<p class=""contact"">
<a href=""mailto:uclaesa@gmail.com"">uclaesa@gmail.com</a><br/>
</p>]"
Exploring Your Universe,Exploring Your Universe (EYU) is an organization that produces an annual K-12 science fair event at UCLA each year on the first Sunday in November.  We organize and host hundreds of volunteers to..., ,"[<p class=""contact"">
<a href=""http://exploringyouruniverse.ucla.edu"">http://exploringyouruniverse.ucla.edu</a><br/>
<a href=""mailto:eyu.ucla@gmail.com"">eyu.ucla@gmail.com</a><br/>
</p>]"
Financial Investment and Technology at UCLA,"Financial Investment and Technology at UCLA (FIT) aim to help student majoring or minoring in financial, economics, actuarial, or any other relative field to practice their knowledge in real-life...", ,"[<p class=""contact"">
<a href=""https://www.uclafit.com/home"">https://www.uclafit.com/home</a><br/>
<a href=""mailto:fitucla2023@gmail.com"">fitucla2023@gmail.com</a><br/>
</p>]"
"Gamma Zeta Alpha Fraternity, Inc.","In 1987, fifteen men came together to found what would later become known as Gamma Zeta Alpha Fraternity, Inc. -- Recognizing the difficulties facing Latinos in higher education, the founders sought...", ,"[<p class=""contact"">
<a href=""https://gammas.org/"">https://gammas.org/</a><br/>
<a href=""mailto:president.gammas.eta@gmail.com"">president.gammas.eta@gmail.com</a><br/>
</p>]"
"Genetic Exploration, Networking, and Education (GENE)","We are a student group dedicated to promoting professional training in genetics and molecular biology through study, scientific research, and collaboration at both the national and international...", ,"[<p class=""contact"">
<a href=""mailto:uclagene1919@gmail.com"">uclagene1919@gmail.com</a><br/>
</p>]"
German Club at UCLA,"The German Club at UCLA aims to promote and provide space for German language and cultural learning. Moreover, the organization encourages critical engagement with German art, media, and history to...", ,"[<p class=""contact"">
<a href=""mailto:germanclubatucla@gmail.com"">germanclubatucla@gmail.com</a><br/>
</p>]"
Global Development Lab (GDL),Global Development Lab (GDL) is a UCLA student-run organization that endeavors to create a community of undergraduates with a passion for international development and establish a space for students..., ,"[<p class=""contact"">
<a href=""https://thedevlab.org/"">https://thedevlab.org/</a><br/>
<a href=""mailto:devlabucla@gmail.com"">devlabucla@gmail.com</a><br/>
</p>]"
Global Medical Brigades,The UCLA Chapter of Global Brigades is a student-led group that supports Global Brigades in the implementation of a holistic model to meet the health and economic goals of rural communities in other..., ,"[<p class=""contact"">
<a href=""https://fundraise.globalbrigades.org/empowered/chapter/university-of-california-los-angeles-medical-"">https://fundraise.globalbrigades.org/empowered/chapter/university-of-california-los-angeles-medical-</a><br/>
<a href=""mailto:medicalbrigadesucla@gmail.com"">medicalbrigadesucla@gmail.com</a><br/>
</p>]"
Golden Key International Honor Society at UCLA,"Golden Key is an International Honour Society, which recognizes and encourages scholastic achievement and excellence among college and university students from all academic disciplines. Membership...", ,"[<p class=""contact"">
<a href=""http://www.goldenkey.org/"">http://www.goldenkey.org/</a><br/>
<a href=""mailto:epasser@saonet.ucla.edu"">epasser@saonet.ucla.edu</a><br/>
</p>]"
Graduate Economics Association,The GEA is an academic organization run by and for graduate students in the Economics Department at UCLA. Its objective is to improve the quality of life for students in the department., ,"[<p class=""contact"">
<a href=""mailto:econ.ucla@gmail.com"">econ.ucla@gmail.com</a><br/>
</p>]"
Graduate Student Association of Archaeology,The Graduate Student Association of Archaeology is an organization governed by graduate students with an archaeological specialization at UCLA.  The Association's main objective is to distribute..., ,"[<p class=""contact"">
<a href=""mailto:archaeologygsa@gmail.com"">archaeologygsa@gmail.com</a><br/>
</p>]"
Graduate Student Linguistics Organization (GSLO) ,The Graduate Student Linguistics Organization (GSLO) emphasizes the study and the promotion of the field of linguistics inside and outside our department. Our responsibility is to create events..., ,"[<p class=""contact"">
<a href=""mailto:mateos+gslo@ucla.edu"">mateos+gslo@ucla.edu</a><br/>
</p>]"
Graduate Student Nursing Association (GSNA),Graduate Student Nursing Association (GSNA), ,"[<p class=""contact"">
<a href=""mailto:gsnainla@gmail.com"">gsnainla@gmail.com</a><br/>
</p>]"
Head and Neck Surgery Interest Group (HNSIG),Interest group for medical students interested in head and neck surgery., ,"[<p class=""contact"">
<a href=""mailto:sionemarkarian@mednet.ucla.edu"">sionemarkarian@mednet.ucla.edu</a><br/>
</p>]"
Health Care Symposium,The Health Care Symposium is an annual conference organized by students at the David Geffen School of Medicine about the most pressing subjects facing the future of health care. The conference is..., ,"[<p class=""contact"">
<a href=""http://hcs.dgsom.ucla.edu/"">http://hcs.dgsom.ucla.edu/</a><br/>
<a href=""mailto:mtriest@mednet.ucla.edu"">mtriest@mednet.ucla.edu</a><br/>
</p>]"
HealthSpeaks,"HealthSpeak is a club dedicated to fostering critical thinking, problem-solving skills, and public speaking pro fiency in students while exploring a wide range of public health-related topics. Our...", ,"[<p class=""contact"">
<a href=""mailto:nandinig04@g.ucla.edu"">nandinig04@g.ucla.edu</a><br/>
</p>]"
Helping Give Away Psychological Science (HGAPS) at UCLA,"Helping Give Away Psychological Science (HGAPS; pronounced as two syllables: ""H-GAPS"") is a national, educational service-based nonprofit 501(c)(3) dedicated to helping the best free information...", ,"[<p class=""contact"">
<a href=""https://www.hgaps.org/"">https://www.hgaps.org/</a><br/>
<a href=""mailto:hgapsatucla@gmail.com"">hgapsatucla@gmail.com</a><br/>
</p>]"
History Graduate Students Association,We are an association of graduate students in the UCLA Department of History., ,"[<p class=""contact"">
<a href=""http://history.ucla.edu/academics/graduate/hgsa"">http://history.ucla.edu/academics/graduate/hgsa</a><br/>
<a href=""mailto:hgsaucla@gmail.com"">hgsaucla@gmail.com</a><br/>
</p>]"
History Honor Society - Phi Alpha Theta,"Established in 1921, Phi Alpha Theta is a professional society focused on promoting the study of history by encouraging research, publication, and the exchange of ideas. Phi Alpha Theta hosts a...", ,"[<p class=""contact"">
<a href=""https://pathonors.wordpress.com/"">https://pathonors.wordpress.com/</a><br/>
<a href=""mailto:uclahistoryhonors@gmail.com"">uclahistoryhonors@gmail.com</a><br/>
</p>]"
Humanities Council,Humanities Council is one of the thirteen academic councils under the umbrella of the Graduate Student Association. Membership of this organization consists of UCLA graduate students in the..., ,"[<p class=""contact"">
<a href=""mailto:hsc@gsa.asucla.ucla.edu"">hsc@gsa.asucla.ucla.edu</a><br/>
</p>]"
In Transcription. @UCLA,"In Transcription (InT) @UCLA is a community built for future scientists and entrepreneurs, founded in 2022 Winter by 7 ambitious Life Science undergraduates. We aim to aid the ambitions and...", ,"[<p class=""contact"">
<a href=""https://intranscriptionatucla.org/"">https://intranscriptionatucla.org/</a><br/>
<a href=""mailto:intucla22@gmail.com"">intucla22@gmail.com</a><br/>
</p>]"
Indo-European Studies Student Alliance (IESSA),"The IESSA promotes the study of Indo-European languages, archaeology, culture, mythology, and poetics, with special emphasis on Indo-European linguistics. The organization of the annual UCLA...",https://instagram.com/aleph_ucla?igshid=NTc4MTIwNjQ2YQ==,"[<p class=""contact"">
<a href=""http://pies.ucla.edu"">http://pies.ucla.edu</a><br/>
<a href=""mailto:elimigliaretti@ucla.edu"">elimigliaretti@ucla.edu</a><br/>
</p>]"
Internal Medicine Interest Group,The mission of the DGSOM-UCLA Internal Medicine Interest Group (IMIG) is to provide students with information about internal medicine as a medical specialty and as a possible career; expose students..., ,"[<p class=""contact"">
<a href=""mailto:imig.dgsom@gmail.com"">imig.dgsom@gmail.com</a><br/>
</p>]"
International & Human Rights Law Association,To provide a forum for law students to develop knowledge and share experience in international human rights law., ,"[<p class=""contact"">
<a href=""mailto:ihrla@lawnet.ucla.edu"">ihrla@lawnet.ucla.edu</a><br/>
</p>]"
International Society for Pharmaceutical Engineering at UCLA,"ISPE is the professional society for students interested in the biotechnology, biomedical, and pharmaceutical fields. Engineering and science majors of all types are encouraged to join. Our goal is...", ,"[<p class=""contact"">
<a href=""https://ucla-ispe.weebly.com/"">https://ucla-ispe.weebly.com/</a><br/>
<a href=""mailto:ucla.ispe@gmail.com"">ucla.ispe@gmail.com</a><br/>
</p>]"
LA Hacks,LA Hacks is a student-run organization that brings students from around the world together to build creative and innovative solutions to the world's most pressing issues. Our mission is to foster a..., ,"[<p class=""contact"">
<a href=""https://lahacks.com"">https://lahacks.com</a><br/>
<a href=""mailto:info@lahacks.com"">info@lahacks.com</a><br/>
</p>]"
"Lambda Theta Alpha Latin Sorority, Inc.","The purpose of Lambda Theta Alpha shall be to provide a Sisterhood based on Unity, Love, and Respect. To develop strong leaders who will then provide and practice political, social and cultural...", ,"[<p class=""contact"">
<a href=""https://overachievers.wixsite.com/ltaucla"">https://overachievers.wixsite.com/ltaucla</a><br/>
<a href=""mailto:lta.president.ucla@gmail.com"">lta.president.ucla@gmail.com</a><br/>
</p>]"
