CLUB NAME,CLUB DESCRIPTIONS,CLUB INSTAGRAM,CLUB EMAIL,CLUB WEBSITE
Anesthesiology Student Interest Group (ASIG) ,"The Anesthesiology Interest Group at David Geffen School of Medicine aims to increase awareness and interest in Anesthesiology as it is a specialty that students have very little exposure to in the preclinical as well as in many students’ clinical years. It provides opportunities for students to learn about the specialty, become involved in research", ,dgsom.asig@gmail.com,http://uclahealth.org/anes/anesthesia-student-interest-group
Animatrix,"Originally founded in 1984, Animatrix is an annual academic film journal that allows students and scholars an opportunity to publish illustrations, interviews, and research-based critical articles addressing the film, animation, and video game industries. This student-run organization highlights the burgeoning developments in the visual media landscape, alongside investigating its cultural and systemic impact while making access to this information more widespread.", ,animation2487@tft.ucla.edu, 
Arab American Association of Engineers and Architects (AAAEA),"The UCLA student chapter of the Arab American Association of Engineers and Architects (AAAEA), founded in 2015, is a non-political, non-religious, professional and social club dedicated to strengthening, empowering, and inspiring STEM and Architecture students to achieve excellence through meaningful encounters.

In our pursuit of creating a more interactive, and engaging professional and academic experience at UCLA, we will be putting on a variety of events, including: Scholarship Awards, Company Info Sessions and Tours, Internship Application Building Sessions, Mentorship Programs, and Networking Meetings with other chapters across the nation.

With the goal of building an inclusive and uplifting social environment, we will help make you feel at home at UCLA by introducing a family program as well as social and cultural events throughout the year. Those include Live Cooking Classes, Trivia Nights, and Game Nights.",https://www.instagram.com/aaaea.bruins/,ucla.aaaea@gmail.com,https://aaaeaca.org/bruin-student-chapter/
Armenian Engineers and Scientists Association (AESA),An organization for anyone interested in Engineering and Science in the Armenian community., ,aesaatucla@gmail.com, 
Art History Undergraduate Student Association,"The Art History Undergraduate Student Association (AHUSA) is an organization that provides extracurricular enrichment in the field of Art History to majors and non-majors. In addition, AHUSA hopes to create a sense of community among students and serve as a vital link between faculty and students. AHUSA hosts events throughout the year including museum and gallery trips, guest speakers, and association meetings. For more information and to sign up via email, contact bruins.ahusa@gmail.com and check out the AHUSA Instagram page @AHUSA_UCLA.",https://www.instagram.com/ahusa_ucla/,bruins.ahusa@gmail.com,http://arthistory.ucla.edu/undergraduates-ahusa/
Association of Students in Child Development,"The purpose of the Association of Students in Child Development is to create a student-led organization that will serve as a resource for students who are interested in working with or on behalf of children in the future. We hope to expand students’ understanding of both the science of child development and the range of child-related professions available to them. To achieve this goal, the ASCD will provide its members with opportunities to gain more hands-on experience with children, professional development panels and workshops with professionals in the field. We would like to use this organization as a space for students, alumni, and professionals to share the resources they have gained throughout their undergraduate and professional careers. Ultimately, this student org will provide current students with more access to different resources that would benefit their future endeavors professionally and make a positive impact on children and families in the broader community.", ,ascdatucla@gmail.com, 
Astronomical Society,"The purpose of this organization is to host and create astronomy-related events openly accessible and available to all members of the UCLA community and the surrounding communities.  As an extension to this end, the organization publicizes and organizes excursions to select astronomy-related events around the Los Angeles county area. In achieving the purpose of the organization, the primary function of the organization is the maintenance and operation of the telescopes located on the ninth floor of the Mathematical-Sciences Building.  The maintenance and operation of the telescopes are jointly performed with and led by the graduate students of the Physics &amp; Astronomy Department.  With the telescopes, the organization organizes publicly-accessible a weekly Telescope Show.  Overall, the organization is dedicated to science, the principles of scientific thought, and the dissemination of science to the greater community.",https://www.instagram.com/theastronomicalsociety/?hl=en,uas@astro.ucla.edu, 
Aware At UCLA ,"Aware’s mission is to create a safe space where students can discuss relevant ethical issues in order to build their own identities, be better advocates, and participate in thoughtful, non-judgmental discussions. We hope to encourage members in their activism and advocacy efforts and bring together voices from various communities.
Our club will consist of discussion seminars addressing present-day ethical debates that are aided by articles and other resources gathered by our teams. We will also offer educational workshops led by professors and partner organizations about various topics ranging from service, activism, communication, politics and more. We hope to connect students to volunteering and donating opportunities, and to empower students by allowing them to lead their own special projects. We encourage students from all political, religious, ethnic, socioeconomic, and cultural backgrounds to join so that we may promote an all-inclusive dialogue that allows us to better understand each other’s perspectives as we strive to become active agents of change in our communities. 

We hope that Aware is a supportive environment for students looking to further educate themselves on world issues and debates, and to inform their civic engagement and advocacy efforts.",https://instagram.com/aware.ucla?igshid=MzRlODBiNWFlZA==,aware.ucla@gmail.com,https://awareatucla.weebly.com
Basic Dental Principles at UCLA ,"Basic Dental Principles (BDP) is a program created to provide undergraduate and post-baccalaureate students the opportunity to gain more knowledge into the field of dentistry. The program consists of a lecture series and a lab series and is taught by students at the UCLA School of Dentistry.
The lecture series consists of 24 sessions split throughout 2 academic quarters. The lectures topics range from getting into dental school to the different specialities within dentistry. The lab series consists of 4 hands-on sessions where students are able to complete projects such as drilling and filling tooth preparations and taking impressions.", ,uclabdp@gmail.com,http://uclabdp.com
Bioengineering Graduate Association,"The Bioengineering Graduate Association (BGA) at UCLA was established to facilitate the communication of graduate students with department members, encourage the involvement of students in the graduate community, and establish platforms for the academic and professional development of its members. 

BGA coordinates with the department to provide resources of academic outreach for graduate students, including arranging lunch with guest speakers, organizing annual retreats to promote intra- and inter-departmental research exchange, and releasing other opportunities for student involvement. 

BGA also works to enrich the life of graduate students and form close bonds within the department. The council provides peer advising and mentoring, facilitates new student orientation, leads social gatherings and after hours, and provides community support for current students.", ,bga@g.ucla.edu, 
Biomedical Engineering Society,"The purpose of UCLA BMES is to provide students interested in Biomedical Engineering with a place to meet and collaborate with other interested individuals. UCLA BMES promotes community and builds solidarity among its members. To serve this end, the group fosters intra-group communication and the exchange of experiences by providing educational and social forums that address issues in Biomedical Engineering.",https://www.instagram.com/bmesucla/,bmes@ucla.edu,http://bmes.seas.ucla.edu/
Botanical Club at UCLA,"The Botanical Club's mission is to act as a student hub for the promotion of botanical research, appreciation and outreach. The Botanical Club's interests are interdisciplinary and integrated across the fields of plant systematics, ecology, conservation, horticulture and their intersection with justice movements.",https://www.instagram.com/botanicalclubucla/,uclabotanicalclub@gmail.com, 
Bruin Association of Students in Education,"Founded in 2022, the Bruin Association of Students in Education was formed out of a need to create a space for a motivated group that spans across the entire student body but does not have a centralized organization that serves or advocates for them. This organization shall include and represent all students interested in employing various sectors in the field of education, including but not limited to teaching, counseling, researching, and administrating, across all levels of education, including but not limited to pre-K through 12th grade and higher education. This organization serves to unify the various sectors of the education field across all positions and levels through collaboration and solidarity to ultimately best serve students.",https://www.instagram.com/ucla.base/,base.ucla@gmail.com,https://sites.google.com/g.ucla.edu/uclabase/home
Bruin Battalion Army ROTC,"The members of the Bruin Battalion Corps of Cadets represent UCLA’s branch of the Army Reserve Officer Training Corps (R.O.T.C.). This voluntary training program allows students to qualify for an officer's commission in the Army while completing their college education. Students who participate in ROTC learn first-hand what it takes to lead others, motivate groups and how to conduct missions as an Officer in the United States Army. When you graduate as an Army ROTC cadet, you will earn the rank of Second Lieutenant and be ready to start your career in a wide range of branches and specialties. Cadets come from all academic disciplines and majors, as well as all graduating classes. Financial aid and other benefits are offered to those who are eligible.", ,armyrotc@milsci.ucla.edu,http://milsci.ucla.edu/
Bruin Consulting,"We are a management consultancy dedicated to helping businesses navigate the strategic challenges of the 21st century. We partner with clients ranging from startups to Fortune 500 companies to deliver innovative and high-impact solutions.


Founded in 2008 by UCLA students, Bruin Consulting is a 501(c)(3) non-profit organization. Although not directly affiliated with UCLA we comprise of entirely UCLA students.",https://www.instagram.com/bruinconsulting/?hl=en,bruinconsulting@gmail.com,https://www.bruinconsulting.org/
Bruin Contemporary Business,"Bruin Contemporary Business at UCLA is a dynamic community uniting students passionate about modern business practices. The club serves as a vital resource for financial literacy in today's ever-evolving economic landscape, empowering members with the knowledge to launch ventures in e-commerce, reselling, and digital marketing. Through fostering collaboration and sharing practical skills, Bruin Contemporary Business paves the way for the next generation of innovative entrepreneurs.",https://www.instagram.com/bruincontemporaryfinance/,bcfucla@gmail.com, 
Bruin Earth Solutions,"Bruin Earth Solutions (BES) is a student-run environmental club that facilitates various sustainable projects around campus. At BES we cover all disciplines of sustainability: Engineering, Biology, Architecture, Consulting, Computer Science, Agriculture, Food Science, Education, Design, and More!",https://www.instagram.com/uclabhs/,bhs@g.ucla.edu,http://bruinhomesolutions.com/
Bruin Historical Association,"The Bruin Historical Association is a student organization that exists to form a broad coalition of UCLA students dedicated to promoting common historical interest, combating the spread of historical misinformation, and providing a platform for underrepresented fields of historical study.

We seek to accomplish this by simultaneously providing a space for students to interact through organization events as well as providing the resources students may need in order to succeed, such as with academic and or career opportunities, finding access to relevant materials, or simply getting the support needed to start a new project.", ,bruin.historical.association@gmail.com,http://bruinhistoricalassociation.org
Bruin Linguists Society,"The Bruin Linguists Society (BLing) is the UCLA Linguistics’ undergraduate student association. We host events every quarter that are geared towards undergraduate students’ success in career, academics, and the linguistics community.

The Bruin Linguists Society (BLing) is an academic and social student organization at UCLA that serves the undergraduates in the Linguistics Department. BLing hosts study events, career events, and social events throughout the year, and also organizes the Southern California Undergraduate Linguistics Conference every Spring. BLing's purposes as an organization include: To promote the field of linguistics by increasing awareness and encouraging the education of linguistics topics both on and off campus; to encourage undergraduate involvement in academia; to unite the students of the Linguistics Department with each other and with students from other departments; to improve communication between students and faculty; to make students aware of the opportunities present for people interested in the field.",https://www.instagram.com/bruinlinguists,bruinlinguists@gmail.com,https://tinyurl.com/bruinlinguists
Bruin Policy Institute,"The Bruin Policy Institute is a policy think tank that facilitates policy discussion, publishes memos in our journal, and advocates for progressive solutions backed by academic evidence. We invite celebrated guest speakers and host policy workshops to provide the tools for members to become powerful thinkers and leaders.",https://www.instagram.com/rooseveltucla,bruinpolicyinstitute@gmail.com,https://uclaroosevelt.wixsite.com/bruinpolicyinstitute
"Bruin Review, The",A publication focused on civil discourse and diversity of thought. The student solution for a lack of healthy disagreement on campus., ,management@bruinreview.com,http://bruinreview.com
Bruin Strategic Advisory ,"Bruin Strategic Advisory is the gathering of like-minded students that are passionate about both finance and management consulting. Bruin Strategic Advisory has a consulting focus, but will help prepare its members in other career paths such as investment banking, private equity, software engineering, and product management. Bruin Strategic Advisory is also an incredibly unique organization as they have a focus on athletics", ,samoh2026@g.ucla.edu, 
California Geotechnical Engineering Association at UCLA,The CalGeo Student Chapter at UCLA has a simple goal: build lasting connections between the academic and industrial faces in the field of Geotechnical, ,calgeobruins@gmail.com,http://calgeobruins.org/
Carbon Neutrality Society,"As climate change accelerates, addressing carbon emissions has never been more critical. The Carbon Neutrality Society at UCLA aspires to foster a community of environmentally conscious minds, dedicated to advancing carbon neutrality both on campus and beyond. Through a multi-disciplinary lens, our society delves into the scientific, technological, economic, business, and financial facets intertwined with carbon neutrality and environmental sustainability.

Our focal points extend across a broad spectrum including the exploration of carbon reduction technologies, understanding the environmental policies, and discerning the economic implications of a green transition. We are committed to cultivating a well-rounded understanding of STEM (Science, Technology, Engineering, and Mathematics) as it pertains to environmental sustainability, and providing a platform for members to engage in meaningful discussions, collaborate on projects, and advocate for carbon-neutral initiatives.

The society is further committed to bridging the gap between theoretical knowledge and practical application. Through workshops, speaker sessions, collaborative projects, and community outreach, we aim to equip members with the necessary skills and knowledge to contribute towards a carbon-neutral future. Moreover, we envision forming partnerships with local organizations, governmental bodies, and other academic societies to amplify our impact and foster a culture of environmental responsibility.

The Carbon Neutrality Society welcomes students from all disciplines who share a common goal of mitigating climate change through informed action. Together, we seek to create a ripple effect of environmental awareness and action across the UCLA community and contribute to the global endeavor of achieving carbon neutrality.", ,carbonneutralitysociety@gmail.com, 
CELL Scholars ,"CELL Scholars (Cultivating Early Laboratory Learning) is a UCLA science outreach organization which aims to provide early exposure to scientific research and to increase diversity and inclusion in STEM. CELL Scholars provides scholarship-sponsored research opportunities in UCLA laboratories for high school students from underrepresented backgrounds during the school year. High school students are paired with a graduate student mentor to hone technical skills at the bench, learn coding skills for computational projects, and gain career and college advice from individuals in the field. Outside of the laboratory, workshops and seminars are held by UCLA students and faculty to help students build critical skills for a career in STEM.
Statement of Purpose: CELL Scholars exists to provide novel early research experiences for high school students from underrepresented backgrounds, in order to increase diversity and inclusion in STEM while mentoring the next generation of scientists.", ,cellscholars@gmail.com,https://bri.ucla.edu/outreach/cell-scholars/
"Center for Language, Interaction and Culture Graduate Student Association (CLIC GSA)","CLIC GSA is a student organization that promotes interdisciplinary work at the intersections of language, culture, and conversational activities. Members include primarily graduate (and also undergraduate) students from Anthropology, Applied Linguistics, Asian Languages &amp; Cultures, Education, and Sociology.

CLIC GSA hosts an annual conference in conjunction with the UC Santa Barbara Language, Interaction, and Social Organization (LISO) graduate student association. The conference is hosted at UCLA every other year. CLIC GSA also occasionally hosts workshops and speaker series, during which students are able to discuss their research and receive feedback from colleagues and faculty members, as well as learn strategies for professional development. We are dedicated in providing an inclusive environment for engaging fruitful academic discussions and celebrating the vibrant and diverse community of young scholars in the fields of language, interaction, and", ,clicgsaconference@gmail.com, 
Center for the Liberal Arts and Free Institutions,"CLAFI’s purpose is to study great literary, artistic, and cultural achievements, with particular emphasis on the foundations of free institutions. Through lectures, seminars, and public events, CLAFI serves UCLA students in their pursuit of what is true, good, and beautiful.",https://www.instagram.com/ucla.clafi/,clafi.bruin@gmail.com,http://www.clafi.ucla.edu
Chi Epsilon Pi (XEP),Graduate student organization for the Atmospheric and Oceanic Sciences Department.,https://www.instagram.com/gradxepatucla/,xep@atmos.ucla.edu,https://xep.atmos.ucla.edu/
"Chi Epsilon, The Civil Engineering Honor Society","Dedicated to the purpose of maintaining and promoting the status of civil engineering as an ideal profession, Chi-Epsilon was organized to recognize the characteristics of the individual civil engineer deemed to be fundamental to the successful pursuit of an engineering career, and to aid in the development of those characteristics in the civil engineering student.

Engineering, the application of scientific principles to the practical needs of society, is assuming a constantly increasing responsibility for the well-being of all people, and thus calling for competence of the highest order. This responsibility can be discharged only by a professional group whose members are possessed of a good basic technical ability, intelligence, moral integrity, and effective social poise in their relationship with the larger community of which they are part.

To contribute to the improvement of the profession, Chi Epsilon fosters the development and exercise of sound traits of character and technical ability among civil engineers, and its members, by precept and example, toward an ever higher standard of professional service.",https://www.instagram.com/uclaxe/,chiepsilon@g.ucla.edu,https://uclaxe.wixsite.com/site
CNS (Clinical Neurogenomics Students) ,"CNS students work alongside medical staff and researchers to help in the effort to bank patient samples from the UCLA Neurology Clinic at the Ronald Reagan Medical Center. The mission of the organization is to provide valuable experience in a healthcare setting to undergraduate students interested in pursuing a career in the field.  Specifically, the program is designed to give students the opportunity to interact with patients while learning more about research, neurology, and genomics. 
The organization includes a practical and an educational component. During weekly shifts at the UCLA Neurology Clinic at the Ronald Reagan Medical Center, CNS students monitor the waiting room, helping eligible patients give their informed consent to bank their biological samples for genomics research. Students answer questions, collect forms, and input information in a research database. Additionally, students are given the opportunity to attend the UCLA Neurology Grand Rounds, which are weekly seminars held by world renowned guest scientists that cover a variety of topics related to neurology, genomics, and clinical research. Twice a month, CNS holds introductory presentations and post-seminar discussions to help student members better understand the topics covered during Grand Rounds and discuss their relevance. Guest lecturers are also invited to share with CNS members their research and findings in the field of neurogenomics.",https://www.instagram.com/cnsatucla/,cnsatucla@gmail.com,https://cnsatucla.weebly.com/
Cognitive Science and Artificial Intelligence,"Club designed for but not limited to Cognitive Science majors and individuals interested in Cognitive Science. We will talk about relevant news stories regarding artificial intelligence, current cognitive science experiments, machine learning, debated psychological perspectives, ethical uses of certain technologies, etc. We will also reach out to former UCLA students that majored in Cognitive Science and bring them in as guest lecturers. The goal of this being to shed light on potential career paths that can be taken with the major, as well as form valuable connections for the students within the club. Representing the Cognitive Science and Artificial Intelligence Club, there will be a President, Vice President, Treasurer, and Recruitment Chair. The President will be responsible for organizing all of the meetings whether that be regular scheduled meetings or special meetings such as speaker events. The Vice President will be in charge of the task forces of the organization as well as helping organize the committee roles. The Treasurer will maintain records of all financial transactions (budgeting, funding, payment records, etc.). Lastly, the Recruitment Chair will be in charge of planning the social programs as well as advertising for club recruitment. This will include social media posts, outreach, being available for answering questions, etc. Elections will occur every Fall quarter and positions will last for the entirety of the academic year. Any club member can nominate themselves or another member, and voting will be conducted based off a simple majority voting system. During this process each potential new position holder will give a speech tailored to the specific position that they want to obtain. The constitution can be amended by two thirds voting process between the entire club membership only at in person meetings. A potential new amendment to the constitution will be proposed at one of the meetings and the actual voting process for the amendment will take place at the following meeting.", ,jedward13@g.ucla.edu,https://csaiatucla.com/
Collaboration in Undergraduate Research Enrichment at UCLA,"CURE at UCLA is an organization of undergraduate researchers who are dedicated to improving the undergraduate research experience. We aim to provide students with the resources and mentorship that they need to succeed through the implementation of an internal curriculum and external workshops. CURE integrates resources and information from student organizations, faculty, and the Undergraduate Research Center to provide students with a comprehensive and cohesive guide to approaching undergraduate research.

CURE at UCLA aims to expose, interest, and prepare undergraduate students for an optimized and exciting research experience. Interactive symposiums led by research faculty and weekly programs will introduce students to the latest developments in research throughout the world, and will provide opportunities for undergraduates to discover their scientific interests. One-on-one peer research mentoring and group research mentoring sessions are offered throughout the quarter to help undergraduates find a lab suited to their interests and academic goals and develop skills to succeed in their labs. Career development workshops are also held on a quarterly basis to introduce and breakdown scientific and health-oriented career options. Lastly, CURE at UCLA also hosts several social events to help build the undergraduate scientific community together.",https://www.instagram.com/cureatucla/,outreach.cureatucla@gmail.com,http://cureatucla.weebly.com/
Community College Field Biology Alliance,"The Community College Field Biology Alliance will provide community college students from underrepresented groups in science, technology, engineering, and math  (STEM) the opportunity to experience scientific field work prior to transferring to a four-year university. Students will be mentored by graduate students from UCLA’s Department of Ecology and Evolutionary Biology through all stages of an independent scientific project; from development of methods, to data collection on the UC James San Jacinto Mountains Reserve one of the 39 field sites apart of the University of California Natural Reserve System, to the write up of a scientific poster. Further, it is our goal to foster meaningful relationships between the student interns and the graduate student mentors that will last beyond just completion of their project. This will be accomplished through weekly and monthly meetings and community oriented social events. Lastly, during the duration of the program students will also be exposed to workshops and information sessions aimed at assisting in the transferring process and building tangible knowledge of scientific methods that can be applied in their future undergraduate research and graduate studies. Our program structure is as follows: (1) Community College students interested in the natural sciences and conducting scientific research in the field will be invited to apply to this program. The program will run from April to August, culminating in a 10 day trip to the field to collect data and the completion of a poster in time for the UCLA Summer Poster Symposium. (2) Students will be paired with UCLA graduate students in the Ecology and Evolutionary Biology Department whose field research interests most closely align with their own. Students will meet virtually with their mentors weekly and in person monthly. Students and their mentors will develop an independent observational field project that could feasibly be completed with ten days of data collection during the summer. (3)By the beginning of July, students will have completed a literature review and a methods protocol for their proposed field project. In late July, students and graduate mentors will travel to the James San Jacinto Mountains Reserve. This reserve is located approximately 2 hours from UCLA in the San Bernardino National Forest and is a part of the University of California Natural Reserve System. Travel, food, and lodging will be included for all participants. (4) While in the field participants will be assisted by their graduate student mentors in collecting and analyzing data for their proposed project. Before returning home each student will have a completed scientific poster. (5) Aside from enacting their proposed research, students will attend skill-building workshops focused on cultivating tangible scientific and fieldwork skills that can be used throughout their careers. For example, interns will be introduced to ‘R’ Statistical software for data analysis and taught how to use species identification guides in the field.", ,CCFBioAlliance@gmail.com,https://www.ccfieldbiologyalliance.org/
Community Health Sciences Student Association (CHSSA),"The Community Health Sciences Student Association (CHSSA) is a student-run organization, whose mission is to cultivate community and connectedness among students in the Fielding School of Public Health Department of Community Health Sciences by offering events that support personal, academic, and professional growth.",https://www.instagram.com/chssaucla,chssa.uclafsph@gmail.com, 
Comparative Literature Graduate Student Association ,"The Comparative Literature Graduate Student Association (CLGSA) acts as a bridge between graduate students, faculty, the Humanities Administrative Group (HAG) and the wider UCLA community. Members of this annually elected student organization identify and advocate for the academic, administrative, professional, and cultural needs of Comparative Literature graduate students.

Members of the CLGSA attend Faculty Meetings, host quarterly Town Hall meetings, professionalization workshops and social gatherings. The CLGSA also curates online resources for students of the department on the CCLE Comparative Literature Graduate Student Site.

By providing a proactive forum for graduate students to share resources and communicate with Faculty, staff and alumni, the CLGSA wishes to promote a sustainable intellectual, teaching and comparative environment.", ,clgsa@humnet.ucla.edu, 
Computational Biologists Society,"The Computational Biologists Society is a student organization which aims to connect students from computational biology and related fields, to provide resources and guidance to students in the Computational and Systems Biology department, and to provide opportunities for education, networking, and professional development.",https://instagram.com/compbiobruins?igshid=YmMyMTA2M2Y=,compbiosocucla@gmail.com,https://compbiosocucla.wixsite.com/my-site
Computational Chemistry Club @ UCLA,"Computational Chemistry Club aims to build bridges between general chemistry and its advanced topics. By supporting theoretical and computational chemistry research for undergraduates and exploring mathematical modeling in physical chemistry, we hope to broaden our horizons and popularize the field of chemistry.", ,timduong360@g.ucla.edu, 
ConnectEd Research,"Our purpose is to establish an academic community where we share research and academic resources with undergraduates from various majors and backgrounds, especially international students, ethnic minorities, and other student groups from disadvantaged backgrounds. The organization undertakes to help students build their research interests, find research opportunities, connect with researchers with similar research interests, and accumulate research assistant experience. We organize online and offline activities and workshops to bring high-quality research projects and peer learning experiences to our students, and to forge a bond between senior and junior students, graduate students, alumni, teaching assistants, and professors. We also strive to provide professional development resources with the hope that students from diverse backgrounds can thrive and succeed in academia.", ,siagao@ucla.edu, 
Creative Labs UCLA,"We are a community of UCLA creatives working on cool projects to discover even cooler passions. We foster creativity and passion within the student body and help students bring their creative project ideas to life. From mobile apps and websites to biodegradable apparel and robotics, students are able to propose their project idea and work with us and our resources in order to successfully execute their creativity.",https://www.instagram.com/creativelabsucla/,uclacreatives@gmail.com,https://www.creativelabsucla.com/
Debate Union at UCLA,"The Debate Union is a debate team geared towards the British Parliamentary (BP) debate format. We aim to teach the skills integral to success in debate, excel in BP tournaments, and create a space for the exploration of different ideas, beliefs, and opinions. Anyone may join the team. However, your expected commitment increases with your level of tournament participation: debaters who want to travel to tournaments will be expected to attend practice regularly, put in work outside of our scheduled practices, and contribute to team research. We also host social gatherings throughout the year.",https://instagram.com/ucladebateunion?igshid=YmMyMTA2M2Y=,debateunion@ucla.edu,http://www.debateunionatucla.com
Delson Scholar Society,"Available to entering students in the UCLA College who submit a Statement of Intent to Register, and who have financial need as determined by the UCLA Financial Aid Office. Candidates must be Bell or Huntington Park High School graduates with a minimum 3.0 high school G.P.A., with preference to those who attended Nimitz Middle School.", ,delsonscholars@gmail.com, 
